scope,size_bin,lesions,detected,sensitivity,ci95_low,ci95_high,lesion_dice_mean,false_positive_components,cases,case_tumour_dice_mean,false_positives_per_case
overall,0-5 mm,91,7,0.07692307692307693,0.03775902099480837,0.15036096011052938,0.0011147154395298377,4649,210,0.28275341634746315,30.904761904761905
overall,5-10 mm,61,4,0.06557377049180328,0.02579328695767287,0.15683021400467229,0.012930238298916298,904,210,0.28275341634746315,30.904761904761905
overall,10-15 mm,68,15,0.22058823529411764,0.1384889157967965,0.3325696352377016,0.07804097789655422,393,210,0.28275341634746315,30.904761904761905
overall,> 15 mm,287,192,0.6689895470383276,0.6126286998221733,0.7208861756289315,0.33888485557195114,544,210,0.28275341634746315,30.904761904761905
MCT-LTDiag,0-5 mm,91,7,0.07692307692307693,0.03775902099480837,0.15036096011052938,0.0011147154395298377,1718,106,0.3570281535016294,22.5188679245283
MCT-LTDiag,5-10 mm,57,4,0.07017543859649122,0.02762597299465902,0.1670040170121784,0.013837623442699898,327,106,0.3570281535016294,22.5188679245283
MCT-LTDiag,10-15 mm,61,11,0.18032786885245902,0.10379034061426573,0.2947439336787807,0.051294920634230856,150,106,0.3570281535016294,22.5188679245283
MCT-LTDiag,> 15 mm,182,121,0.6648351648351648,0.5934734154750959,0.7293821776751997,0.35997983949551615,192,106,0.3570281535016294,22.5188679245283
PLC-CECT,0-5 mm,0,0,,,,,1723,69,0.19546747453956673,35.10144927536232
PLC-CECT,5-10 mm,2,0,0.0,0.0,0.6576280471103807,0.0,361,69,0.19546747453956673,35.10144927536232
PLC-CECT,10-15 mm,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.39017072135997743,148,69,0.19546747453956673,35.10144927536232
PLC-CECT,> 15 mm,58,42,0.7241379310344828,0.5979510037164683,0.822477963192538,0.3127090195009972,190,69,0.19546747453956673,35.10144927536232
WAW-TACE,0-5 mm,0,0,,,,,1208,35,0.22988506910184106,48.02857142857143
WAW-TACE,5-10 mm,2,0,0.0,0.0,0.6576280471103807,0.0,216,35,0.22988506910184106,48.02857142857143
WAW-TACE,10-15 mm,4,2,0.5,0.15003570882017148,0.8499642911798285,0.2518210435494179,95,35,0.22988506910184106,48.02857142857143
WAW-TACE,> 15 mm,47,29,0.6170212765957447,0.47426308443976317,0.7420951733648692,0.2894999921257062,162,35,0.22988506910184106,48.02857142857143
