scope,size_bin,lesions,detected,sensitivity,ci95_low,ci95_high,lesion_dice_mean,false_positive_components,cases,case_tumour_dice_mean,false_positives_per_case
overall,0-5 mm,509,51,0.10019646365422397,0.07703181999059122,0.12935081355551736,0.0018834999920694158,33658,439,0.289001935228817,92.66059225512528
overall,5-10 mm,475,37,0.07789473684210527,0.05703832191844228,0.10552399514005892,0.008191262301116208,3259,439,0.289001935228817,92.66059225512528
overall,10-15 mm,365,85,0.2328767123287671,0.19243406194404555,0.27888370698440496,0.07412707454122873,1516,439,0.289001935228817,92.66059225512528
overall,> 15 mm,742,519,0.6994609164420486,0.6655122872845323,0.7313548223001303,0.3607831309221814,2245,439,0.289001935228817,92.66059225512528
MCT-LTDiag,0-5 mm,508,51,0.10039370078740158,0.07718513327298869,0.1296007160991608,0.0018872076692191587,26111,354,0.3015642413152754,89.11016949152543
MCT-LTDiag,5-10 mm,458,32,0.06986899563318777,0.04992310223435485,0.09697055134730605,0.006395084686836429,2534,354,0.3015642413152754,89.11016949152543
MCT-LTDiag,10-15 mm,323,71,0.21981424148606812,0.17809015319859725,0.26812477170692267,0.07141809438745027,1202,354,0.3015642413152754,89.11016949152543
MCT-LTDiag,> 15 mm,645,447,0.6930232558139535,0.6563714241895001,0.7273894197514555,0.36127348148224964,1698,354,0.3015642413152754,89.11016949152543
PLC-CECT,0-5 mm,1,0,0.0,0.0,0.7934567085261071,0.0,3868,48,0.22246144679477364,98.27083333333333
PLC-CECT,5-10 mm,9,5,0.5555555555555556,0.2666473457440297,0.811224570528086,0.10687786738434604,375,48,0.22246144679477364,98.27083333333333
PLC-CECT,10-15 mm,23,7,0.30434782608695654,0.15603828020972454,0.5086612906057261,0.10099972782309634,183,48,0.22246144679477364,98.27083333333333
PLC-CECT,> 15 mm,49,41,0.8367346938775511,0.7096339333048477,0.9148740301179102,0.3495371655370516,291,48,0.22246144679477364,98.27083333333333
WAW-TACE,0-5 mm,0,0,,,,,3679,37,0.25513401874848746,119.35135135135135
WAW-TACE,5-10 mm,8,0,0.0,0.0,0.3244156195108769,0.0,350,37,0.25513401874848746,119.35135135135135
WAW-TACE,10-15 mm,19,7,0.3684210526315789,0.19149272376273843,0.5896084250184328,0.08764968318267538,131,37,0.25513401874848746,119.35135135135135
WAW-TACE,> 15 mm,48,31,0.6458333333333334,0.5043879645406409,0.7656654288731427,0.3656743016019173,256,37,0.25513401874848746,119.35135135135135
